,GEO.display-label,HC03_VC30,HC03_VC31,HC03_VC32
507,"Randolph County, Georgia",1.9,2.1,0.0
508,"Richmond County, Georgia",1.8,3.5,1.1
509,"Rockdale County, Georgia",1.8,1.3,1.4
510,"Schley County, Georgia",0.3,1.7,1.5
511,"Screven County, Georgia",0.5,3.0,1.2
512,"Seminole County, Georgia",0.2,1.6,1.5
513,"Spalding County, Georgia",0.4,1.3,1.5
514,"Stephens County, Georgia",0.0,2.7,0.2
515,"Stewart County, Georgia",0.0,3.4,0.0
516,"Sumter County, Georgia",0.0,3.4,1.0
517,"Talbot County, Georgia",0.0,1.8,5.3
518,"Taliaferro County, Georgia",0.2,1.1,3.2
519,"Tattnall County, Georgia",0.2,2.8,3.0
520,"Taylor County, Georgia",0.9,0.1,1.9
521,"Telfair County, Georgia",0.0,1.6,2.3
522,"Terrell County, Georgia",1.6,2.9,0.9
523,"Thomas County, Georgia",0.2,1.2,2.4
524,"Tift County, Georgia",0.2,1.9,2.3
525,"Toombs County, Georgia",0.6,0.9,3.8
526,"Towns County, Georgia",0.0,6.9,2.0
